method,query,product_id,score,rank,relevance_score
TF-IDF,04 ford ranger third brake light without cargo,B08B4LJ3XV,0.358483,2,3
TF-IDF,04 ford ranger third brake light without cargo,B07S1NGDBJ,0.350113,3,1
TF-IDF,04 ford ranger third brake light without cargo,B07ZCLW1S3,0.334731,4,0
TF-IDF,04 ford ranger third brake light without cargo,B08R9RPLCQ,0.329407,5,0
TF-IDF,04 ford ranger third brake light without cargo,B07RV9Q8DG,0.304602,6,0
TF-IDF,04 ford ranger third brake light without cargo,B07RPTY7FZ,0.280025,7,0
TF-IDF,04 ford ranger third brake light without cargo,B079MGTDW2,0.260893,8,0
TF-IDF,04 ford ranger third brake light without cargo,0142406635,0.253538,9,0
TF-IDF,04 ford ranger third brake light without cargo,B078XFY8PZ,0.246552,10,0
TF-IDF,07 ford fusion washer reservoir without pump,B06XZZ8YJL,0.329806,1,0
TF-IDF,07 ford fusion washer reservoir without pump,B07CQXTKB6,0.259624,2,0
TF-IDF,07 ford fusion washer reservoir without pump,B07QCQHP9K,0.248124,3,0
TF-IDF,07 ford fusion washer reservoir without pump,B0042HE68Y,0.220321,4,0
TF-IDF,07 ford fusion washer reservoir without pump,B003E7M7RK,0.218085,5,0
TF-IDF,07 ford fusion washer reservoir without pump,B014JNLFRA,0.216134,6,0
TF-IDF,07 ford fusion washer reservoir without pump,B00NEG6KVU,0.202348,7,0
TF-IDF,07 ford fusion washer reservoir without pump,B01GR3XSV6,0.200606,8,0
TF-IDF,07 ford fusion washer reservoir without pump,0847826694,0.200565,9,0
TF-IDF,07 ford fusion washer reservoir without pump,B07MJR19V3,0.184287,10,0
TF-IDF,09 nissan altima coupe passenger headlight,B01M18J6IX,0.303695,1,0
TF-IDF,09 nissan altima coupe passenger headlight,B077XLRHX6,0.300825,2,2
TF-IDF,09 nissan altima coupe passenger headlight,B00BFE7W2O,0.288053,3,0
TF-IDF,09 nissan altima coupe passenger headlight,B073SGBMF2,0.286661,4,0
TF-IDF,09 nissan altima coupe passenger headlight,B094ZR7DVT,0.249416,5,0
TF-IDF,09 nissan altima coupe passenger headlight,B019RAK9SQ,0.234991,6,0
TF-IDF,09 nissan altima coupe passenger headlight,B07LBLYMX2,0.222796,7,0
TF-IDF,09 nissan altima coupe passenger headlight,B0824VHQGL,0.221545,8,0
TF-IDF,09 nissan altima coupe passenger headlight,B01K90XH96,0.213258,9,0
TF-IDF,09 nissan altima coupe passenger headlight,B07P5PVFLG,0.209505,10,0
TF-IDF,09 to 14 f150 rgb headlights,B07DQH491L,0.322204,1,0
TF-IDF,09 to 14 f150 rgb headlights,B07NQ1VFTG,0.29338,2,0
TF-IDF,09 to 14 f150 rgb headlights,B07VKB3TPD,0.266451,3,0
TF-IDF,09 to 14 f150 rgb headlights,B08178Q8FW,0.224207,4,0
TF-IDF,09 to 14 f150 rgb headlights,B075GWMJ68,0.218655,5,0
TF-IDF,09 to 14 f150 rgb headlights,B01K90XH96,0.216441,6,0
TF-IDF,09 to 14 f150 rgb headlights,B0143G509W,0.203824,7,0
TF-IDF,09 to 14 f150 rgb headlights,B06WD8XRN1,0.200433,8,0
TF-IDF,09 to 14 f150 rgb headlights,B07D4Z31KR,0.200264,9,0
TF-IDF,09 to 14 f150 rgb headlights,B083C4FWRN,0.190224,10,0
TF-IDF,0asis kindle without adds,B07QJ38Y3W,0.36552,1,0
TF-IDF,0asis kindle without adds,B078TMQWKR,0.346551,2,0
TF-IDF,0asis kindle without adds,B07B89G5N1,0.343975,3,1
TF-IDF,0asis kindle without adds,B07PZ8J966,0.336525,4,0
TF-IDF,0asis kindle without adds,B00H59C9BM,0.32859,5,0
TF-IDF,0asis kindle without adds,B07K16HYGQ,0.301387,6,0
TF-IDF,0asis kindle without adds,B00UB76290,0.299387,7,0
TF-IDF,0asis kindle without adds,B0952VWQWC,0.281761,8,0
TF-IDF,0asis kindle without adds,B07DJ2WSFP,0.267984,9,0
TF-IDF,0asis kindle without adds,B0741WGQ36,0.264898,10,0
TF-IDF,0ther gas grill not webber,B008VA6M4O,0.539119,1,0
TF-IDF,0ther gas grill not webber,B0098HR1FI,0.473472,2,0
TF-IDF,0ther gas grill not webber,B088MH9XYR,0.457678,3,0
TF-IDF,0ther gas grill not webber,B01IBOH0HW,0.423961,4,0
TF-IDF,0ther gas grill not webber,B002XQ2D7W,0.412488,5,0
TF-IDF,0ther gas grill not webber,B004PZN2SS,0.391285,6,0
TF-IDF,0ther gas grill not webber,B07R77MCPJ,0.388824,7,0
TF-IDF,0ther gas grill not webber,B01M983YVL,0.351997,8,0
TF-IDF,0ther gas grill not webber,B00U8QKOBQ,0.351412,9,0
TF-IDF,0ther gas grill not webber,B078RX3DPW,0.346584,10,0
TF-IDF,1 1/2 tablespoon,B00LQA5Y4K,0.0,1,0
TF-IDF,1 1/2 tablespoon,B07B41FL3L,0.0,2,0
TF-IDF,1 1/2 tablespoon,1771642483,0.0,3,0
TF-IDF,1 1/2 tablespoon,B00K6Q16GA,0.0,4,0
TF-IDF,1 1/2 tablespoon,B098DYQKZ7,0.0,5,0
TF-IDF,1 1/2 tablespoon,B07RW3WSVC,0.0,6,0
TF-IDF,1 1/2 tablespoon,B0823C5G5B,0.0,7,0
TF-IDF,1 1/2 tablespoon,B0797ZCKW3,0.0,8,0
TF-IDF,1 1/2 tablespoon,B07YLM1ZC9,0.0,9,0
TF-IDF,1 1/2 tablespoon,B000TZ5BZK,0.0,10,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,B083W4X8ZD,0.21738,1,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,B01D9C7C2E,0.203874,2,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,0942272935,0.185426,3,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,B0725D1VDL,0.179784,4,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,B07S1PYYTV,0.179719,5,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,B088BLDWVK,0.178494,6,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,B06XGQRD4M,0.174699,7,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,B01MUDW6FF,0.170755,8,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,B08513Q326,0.159487,9,0
TF-IDF,1 1/4 mini metal rustic barn star without hole for the,B074SC3ZJ8,0.159266,10,0
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B00T492QB4,0.651515,1,0
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B01NCV8ITS,0.63808,2,0
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B07WS3DC1Z,0.555266,3,3
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B07MNLSZ5N,0.542124,4,0
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B07Q7V81L4,0.492915,5,0
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B081J29V6T,0.453406,6,0
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B07M7RBQ7T,0.440895,7,0
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B00GMR51XG,0.432776,8,0
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B00JK20LB2,0.400777,9,0
TF-IDF,1 3/4 pop up drain without overflow brushed nickel,B002QCPQ4U,0.400439,10,0
TF-IDF,1 badminton racket without cock,B015M4S17C,0.466473,1,0
TF-IDF,1 badminton racket without cock,B075R7PPFQ,0.46463,2,0
TF-IDF,1 badminton racket without cock,B07G281S59,0.46037,3,1
TF-IDF,1 badminton racket without cock,B011NF4AH4,0.435005,4,0
TF-IDF,1 badminton racket without cock,B08TH9MMCS,0.410932,5,1
TF-IDF,1 badminton racket without cock,B08GXDTLDG,0.250054,6,0
TF-IDF,1 badminton racket without cock,B0859PLNCF,0.248143,7,0
TF-IDF,1 badminton racket without cock,B0891MC72H,0.206557,8,0
TF-IDF,1 badminton racket without cock,B0874HK9K7,0.188536,9,0
TF-IDF,1 badminton racket without cock,B01DZY908U,0.187719,10,0
TF-IDF,1 contacts not more than three dollars,B07JG8ZYWF,0.228969,1,0
TF-IDF,1 contacts not more than three dollars,B07NVFLZV4,0.145439,2,0
TF-IDF,1 contacts not more than three dollars,B072KZTJRG,0.134478,3,0
TF-IDF,1 contacts not more than three dollars,B07PSB2M7V,0.131029,4,0
TF-IDF,1 contacts not more than three dollars,1631591436,0.124702,5,0
TF-IDF,1 contacts not more than three dollars,B083R1XQBM,0.118129,6,0
TF-IDF,1 contacts not more than three dollars,1883217660,0.116964,7,0
TF-IDF,1 contacts not more than three dollars,B07CY9X2FS,0.114955,8,0
TF-IDF,1 contacts not more than three dollars,B074BCQYZS,0.112749,9,0
TF-IDF,1 contacts not more than three dollars,B07CCMHJTY,0.112206,10,0
TF-IDF,1 day shipping fidgets not from china,B06XDLNXM5,0.20094,1,0
TF-IDF,1 day shipping fidgets not from china,B075XL63NF,0.20018,2,0
TF-IDF,1 day shipping fidgets not from china,B01N99N254,0.192187,3,0
TF-IDF,1 day shipping fidgets not from china,B075JLYVXR,0.185228,4,0
TF-IDF,1 day shipping fidgets not from china,B000OCEWGW,0.159494,5,0
TF-IDF,1 day shipping fidgets not from china,B0037TSEGS,0.157489,6,0
TF-IDF,1 day shipping fidgets not from china,B07FRX7FG8,0.146925,7,0
TF-IDF,1 day shipping fidgets not from china,B07W747WZC,0.143889,8,0
TF-IDF,1 day shipping fidgets not from china,B00KKI3SI8,0.139986,9,0
TF-IDF,1 day shipping fidgets not from china,B07X2V9PWG,0.137375,10,0
TF-IDF,1 in. mens western belts leather without buckle,B001KY6JE6,0.508137,1,0
TF-IDF,1 in. mens western belts leather without buckle,B07T6HNPQF,0.323382,2,0
TF-IDF,1 in. mens western belts leather without buckle,B00LU1R40W,0.283547,3,0
TF-IDF,1 in. mens western belts leather without buckle,B0768XJHK8,0.275456,4,0
TF-IDF,1 in. mens western belts leather without buckle,B07MDJZLD8,0.270276,5,0
TF-IDF,1 in. mens western belts leather without buckle,B019QKTJHY,0.269554,6,0
TF-IDF,1 in. mens western belts leather without buckle,B084PB28BP,0.268263,7,3
TF-IDF,1 in. mens western belts leather without buckle,B08VFH8TZV,0.262651,8,0
TF-IDF,1 in. mens western belts leather without buckle,B01N76N70Q,0.259522,9,0
TF-IDF,1 in. mens western belts leather without buckle,B07F5HHD2C,0.249629,10,0
TF-IDF,1 inch threaded elbow connector,B00MGEF52G,0.496778,1,0
TF-IDF,1 inch threaded elbow connector,B07D1ZRTY2,0.341441,2,0
TF-IDF,1 inch threaded elbow connector,B07JLGG8P1,0.330527,3,0
TF-IDF,1 inch threaded elbow connector,B000TAR040,0.325256,4,0
TF-IDF,1 inch threaded elbow connector,B00067E4YU,0.306541,5,0
TF-IDF,1 inch threaded elbow connector,B0034G5NSG,0.297476,6,0
TF-IDF,1 inch threaded elbow connector,B01N5H2FCE,0.270075,7,0
TF-IDF,1 inch threaded elbow connector,B01MRXK5JX,0.265881,8,0
TF-IDF,1 inch threaded elbow connector,B00KB82874,0.263387,9,0
TF-IDF,1 inch threaded elbow connector,B0711S6HQM,0.253638,10,0
TF-IDF,1 ml bdsyringe without needles with lure-lok tip,B07XNWZHG8,0.353241,1,0
